id,name,url,category,price,reasons
205,Сэндвич с курицей терияки 180 г,https://edostavka.by/product/2240438,Еда от Шефа,5.95,Улучшитель хлебобулочный; Комплексная пищевая добавка
209,Тефтели из индейки замороженные 600 г,https://edostavka.by/product/1098519,Еда от Шефа,19.49,Комплексная пищевая добавка
214,"Купаты из свинины Беловежские охлажденные, 1 кг",https://edostavka.by/product/2097032,Еда от Шефа,17.99,Комплексная пищевая добавка
218,Котлета Папараць-кветка с картофельными дольками  замороженная 250 г,https://edostavka.by/product/1376028,Еда от Шефа,7.99,Комплексная пищевая добавка
221,Спагетти с соусом Болоньезе замороженные 250 г,https://edostavka.by/product/987096,Еда от Шефа,7.89,Комплексная пищевая добавка
222,Блинчики с яблоком и корицей жареные замороженные 600 г,https://edostavka.by/product/1896937,Еда от Шефа,11.59,Комплексная пищевая добавка
223,Булочки Вишенька 200 8г,https://edostavka.by/product/2229031,Еда от Шефа,2.35,Комплексная пищевая добавка; Улучшитель хлебобулочный
224,"Омлет по-испански с лососем, 200 г",https://edostavka.by/product/2235833,Еда от Шефа,8.19,Комплексная пищевая добавка
228,"Рулетики из филе птицы с беконом, замороженные, 600 г",https://edostavka.by/product/1904840,Еда от Шефа,22.19,Комплексная пищевая добавка
231," Пицца Римская Мясная Баварская замороженная, 480 г    ",https://edostavka.by/product/2240550,Еда от Шефа,10.99,Комплексная пищевая добавка
232,"Пицца Римская Барбекю замороженная, 470 г      ",https://edostavka.by/product/2240551,Еда от Шефа,13.99,Комплексная пищевая добавка
233," Пицца Римская Охотничья с грибами замороженная, 490 г                ",https://edostavka.by/product/2240558,Еда от Шефа,13.79,Комплексная пищевая добавка
234,"Люля-Кебаб из цыпленка замороженный, 480 г              ",https://edostavka.by/product/2245784,Еда от Шефа,14.29,Комплексная пищевая добавка
235,"Смаженка барбекю, замороженная, 250 г",https://edostavka.by/product/2265829,Еда от Шефа,7.39,Комплексная пищевая добавка; Пищевая добавка (неуточнённая)
239,"Жюльен из птицы  замороженный, 1/ 300 г",https://edostavka.by/product/2012700,Еда от Шефа,8.49,Комплексная пищевая добавка
240,"Слойка Нежность со сливочным сыром, замороженая, 1/200, 2 шт",https://edostavka.by/product/1990879,Еда от Шефа,7.59,Комплексная пищевая добавка
241,"Тарталетки Чизкейк с соленой карамелью и арахисом замороженные,  4 шт, 180 г  ",https://edostavka.by/product/2198972,Еда от Шефа,9.89,Комплексная пищевая добавка
242,"Блинчики с творожно-кокосовой начинкой, замороженные, 540 г",https://edostavka.by/product/2168087,Еда от Шефа,10.99,Комплексная пищевая добавка
243,"Сэндвич с индейкой и вялеными томатами, 175 г",https://edostavka.by/product/2240440,Еда от Шефа,6.39,Улучшитель хлебобулочный; Комплексная пищевая добавка
244,"Салат со свеклой, рукколой и фетой 220 г",https://edostavka.by/product/2266010,Еда от Шефа,7.59,Комплексная пищевая добавка
245,"Колбаски Хуторянские охлажденные, 600 г",https://edostavka.by/product/2229779,Еда от Шефа,13.29,Комплексная пищевая добавка
246,Спагетти Карбонара замороженные 250 г,https://edostavka.by/product/987113,Еда от Шефа,8.39,Комплексная пищевая добавка; Пищевая добавка (неуточнённая)
251,"Котлета Люси из птицы  Food&Go охлажденная, 400 г",https://edostavka.by/product/2054827,Еда от Шефа,11.29,Комплексная пищевая добавка
255,Салат овощной с тунцом с соево-медовой заправкой 230 г ,https://edostavka.by/product/2266032,Еда от Шефа,8.79,Комплексная пищевая добавка
259,Салат Цезарь с креветками 1/200 г,https://edostavka.by/product/2026750,Еда от Шефа,8.99,Комплексная пищевая добавка
263,"Салат с баклажанами, томатами и сыром фета в кисло-сладком соусе  240 г",https://edostavka.by/product/2266008,Еда от Шефа,10.29,Комплексная пищевая добавка
264,Блинчики с ветчиной и сыром жаренные замороженные 600 г,https://edostavka.by/product/1059791,Еда от Шефа,20.49,Комплексная пищевая добавка
266,"Рулетики из цукини с куриной грудкой замороженные, 1/1000 г",https://edostavka.by/product/2002421,Еда от Шефа,16.49,Комплексная пищевая добавка
270,"Лазанья Food Болоньезе, 350 г",https://edostavka.by/product/1951473,Еда от Шефа,9.75,Комплексная пищевая добавка
271,Рулетики из окорочков со сливочным сыром и капустой брокколи замороженные  500г                ,https://edostavka.by/product/2245787,Еда от Шефа,13.49,Комплексная пищевая добавка
272,"Пицца римская Пикантная, замороженная, 450 г  ",https://edostavka.by/product/2286248,Еда от Шефа,14.99,Комплексная пищевая добавка
283,"Шашлык из филе цыпленка в маринаде Сливочное лето замороженный, 800 г  ",https://edostavka.by/product/2263433,Еда от Шефа,19.99,Комплексная пищевая добавка
287,"Блинчики с пастой ореховой и бананом, замороженные, 540 г",https://edostavka.by/product/2219981,Еда от Шефа,14.99,Комплексная пищевая добавка
291,"Котлета рыбная с мясом форели замороженные, 480 г",https://edostavka.by/product/2100591,Еда от Шефа,20.99,Комплексная пищевая добавка
293," Пицца Римская сливочный цыпленок с ананасом замороженная, 480 г             ",https://edostavka.by/product/2240556,Еда от Шефа,15.69,Комплексная пищевая добавка
294,"Десерт Моти с клубникой 140 г, 2 шт",https://edostavka.by/product/2296414,Еда от Шефа,7.99,Комплексная пищевая добавка
297,"Пицца римская Четыре сыра, замороженная, 430 г  ",https://edostavka.by/product/2286250,Еда от Шефа,17.09,Комплексная пищевая добавка
298,Лепешка Сырная 110 г,https://edostavka.by/product/1248194,Еда от Шефа,2.29,Комплексная пищевая добавка
492,"Салат Leor Спаржа по-корейски, 250 г",https://edostavka.by/product/172934,Овощи и фрукты,5.19,Комплексная пищевая добавка
598,"Сыр тво­рож­ный SVEZA сливочный, 60%, 350 г",https://edostavka.by/product/2087617,"Молоко, яйца",9.49,Комплексная пищевая добавка
599,"Мороженое Feelin пломбир с наполнителем фисташка, клубника, ваниль и заварной крем, 160 г",https://edostavka.by/product/2087637,"Молоко, яйца",5.33,Комплексная пищевая добавка
646,"Сыр творожный SVEZA Легкий, 35%, 150 г",https://edostavka.by/product/1193331,"Молоко, яйца",3.69,Комплексная пищевая добавка
648,"Сырок творожный глазированный Молочная страна Картошка, 18%, 45 г",https://edostavka.by/product/1006037,"Молоко, яйца",0.99,Комплексная пищевая добавка
656,"Йогурт Беллакт детский, с пребиотиком, 3.2%, 100 г",https://edostavka.by/product/879943,"Молоко, яйца",0.74,Комплексная пищевая добавка
657,"Йогурт питьевой Беллакт детский, клубника и банан, 2.6%, 210 г",https://edostavka.by/product/1191889,"Молоко, яйца",1.39,Комплексная пищевая добавка
666,"Сырок творожный глазированный Савушкин Коровка, 23%, 40 г",https://edostavka.by/product/981845,"Молоко, яйца",0.9,Комплексная пищевая добавка
668,"Мороженое Лакомка ванильное, 70 г",https://edostavka.by/product/717605,"Молоко, яйца",1.99,Комплексная пищевая добавка
669,"Сырок творожный глазированный Молочная страна чизкейк, 18%, 45 г",https://edostavka.by/product/1000327,"Молоко, яйца",0.96,Комплексная пищевая добавка
676,"Мороженое Султан сливочное, крем-брюле, в глазури соленая карамель, 80 г ",https://edostavka.by/product/2184554,"Молоко, яйца",1.55,Комплексная пищевая добавка
683,"Мороженое Молочный мир Городень, ваниль, 15%, 100 г",https://edostavka.by/product/979526,"Молоко, яйца",1.89,Комплексная пищевая добавка
690,"Сыр творожный SVEZA сливочный, 60%, 150 г",https://edostavka.by/product/882038,"Молоко, яйца",3.69,Комплексная пищевая добавка
692,"Сырок творожный глазированный Бабушкина крынка сгущенка, 23%, 45 г",https://edostavka.by/product/497166,"Молоко, яйца",1.03,Комплексная пищевая добавка
693,"Йогурт детский Беллакт черника, земляника, ежевика, 3%, 100 г",https://edostavka.by/product/1174766,"Молоко, яйца",0.74,Комплексная пищевая добавка
695,"Мороженое УП Минский хладокомбинат №2 пломбир с ароматом ванили в оболочке из фруктового льда, 70 г",https://edostavka.by/product/562973,"Молоко, яйца",1.3,Комплексная пищевая добавка
705,"Щербет УП Минский хладокомбинат №2 Снежок со вкусом лимона, 80 г",https://edostavka.by/product/2276826,"Молоко, яйца",1.65,Комплексная пищевая добавка
716,"Мороженое Минский хладокомбинат №2 пломбир с ароматом ванили, во фруктовой оболочке с ароматом яблока, 70 г",https://edostavka.by/product/2021115,"Молоко, яйца",1.3,Комплексная пищевая добавка
717,"Йогурт Беллакт детский, яблоко, персик и банан, 3%, 100 г",https://edostavka.by/product/1164597,"Молоко, яйца",0.82,Комплексная пищевая добавка
718,"Йогурт питьевой Беллакт с бифидобактериями, груша-банан, 2,6%,210 г",https://edostavka.by/product/1531309,"Молоко, яйца",1.39,Комплексная пищевая добавка
719,"Творожный десерт Савушкин груша-банан, 3.5%, 120 г",https://edostavka.by/product/1080706,"Молоко, яйца",1.55,Комплексная пищевая добавка
724,"Мороженое Гоша сливочное с ароматом ванили, со вкусами клубники, банана и киви, 65 г",https://edostavka.by/product/2166393,"Молоко, яйца",1.62,Комплексная пищевая добавка
725,"Мороженое Белый полюс пломбир классический, 70 г",https://edostavka.by/product/877001,"Молоко, яйца",2.07,Комплексная пищевая добавка; Пищевая добавка (неуточнённая)
728,"Йогурт питьевой Беллакт детский, лесная ягода, 2.6%, 210 г",https://edostavka.by/product/1191894,"Молоко, яйца",1.39,Комплексная пищевая добавка
732,"Йогурт Савушкин клубника, 2%, 120 г",https://edostavka.by/product/671554,"Молоко, яйца",0.97,Комплексная пищевая добавка
738,"Йогурт Савушкин Апети, пломбир и хрустящие шарики, 5%, 105 г",https://edostavka.by/product/486935,"Молоко, яйца",2.09,Пищевая добавка (неуточнённая)
740,"Творожный десерт Савушкин кокос-миндаль, 3.5%, 120 г",https://edostavka.by/product/338880,"Молоко, яйца",1.55,Комплексная пищевая добавка
746,"Сырок творожный глазированный Топ со вкусом карамель, 2 палочки, 23%, 45 г",https://edostavka.by/product/2200982,"Молоко, яйца",1.24,Комплексная пищевая добавка
750,"Мороженое Белый полюс пломбир классический, 70 г",https://edostavka.by/product/980142,"Молоко, яйца",1.86,Комплексная пищевая добавка
751,"Мороженое Гоша сливочное дыня, арбуз, 65 г",https://edostavka.by/product/889373,"Молоко, яйца",1.62,Комплексная пищевая добавка
757,"Сыр плавленый 1М Молочный Дружба, 55%, 80 г",https://edostavka.by/product/2053841,"Молоко, яйца",2.39,Комплексная пищевая добавка
758,"Молочная каша Беллакт рисовая 3%, 150 г",https://edostavka.by/product/536933,"Молоко, яйца",2.15,Комплексная пищевая добавка
773,"Йогурт Савушкин лесная ягода, 2%, 120 г",https://edostavka.by/product/671553,"Молоко, яйца",0.97,Комплексная пищевая добавка
797,"Йогурт Даниссимо с хрустящими шариками в шоколаде 6,9%, 105 г",https://edostavka.by/product/209720,"Молоко, яйца",2.49,Комплексная пищевая добавка
799,"Сыр творожный SVEZA сливочный, 50%, 200 г",https://edostavka.by/product/2235897,"Молоко, яйца",3.69,Комплексная пищевая добавка
820,"Тво­рож­ный десерт Са­вуш­кин Воз­душ­ный, клубника-земляника, 3.5%,  100 г",https://edostavka.by/product/1957822,"Молоко, яйца",1.59,Комплексная пищевая добавка
824,"Мороженое Бабушкина крынка сливочное, земляника, 8%, 70 г",https://edostavka.by/product/1854027,"Молоко, яйца",1.47,Комплексная пищевая добавка
825,"Творожный десерт Савушкин Воздушный, черника-ежевика, 3.5%, 100 г",https://edostavka.by/product/939807,"Молоко, яйца",1.59,Комплексная пищевая добавка
834,"Творожный десерт Венский завтрак взбитый, 7%, земляника, 125 г",https://edostavka.by/product/2146909,"Молоко, яйца",1.79,Комплексная пищевая добавка
838,"Мороженое Белый полюс пломбир шоколадный, 70 г",https://edostavka.by/product/987482,"Молоко, яйца",1.86,Комплексная пищевая добавка
844,"Творожный десерт Савушкин клубника, 3.5%, 125 г",https://edostavka.by/product/1080696,"Молоко, яйца",1.55,Комплексная пищевая добавка
851,"Сыр полутвердый Landers Сулугуни, 40%, ",https://edostavka.by/product/1193799,"Молоко, яйца",10.62,Комплексная пищевая добавка
854,"Сыр творожный SVEZA с зеленью, 60%, 150 г",https://edostavka.by/product/882039,"Молоко, яйца",3.69,Комплексная пищевая добавка
857,"Мороженое Soletto малина, 75 г",https://edostavka.by/product/561302,"Молоко, яйца",1.98,Комплексная пищевая добавка
860,"Йогурт Савушкин клубника-земляника, 2,0 %, 120 г",https://edostavka.by/product/1788155,"Молоко, яйца",1.11,Комплексная пищевая добавка
861,"Сыр творожный SVEZA сливочный, 50%, 100 г",https://edostavka.by/product/2015474,"Молоко, яйца",2.35,Комплексная пищевая добавка
879,"Сыр творожный SVEZA прованские травы, 50%, 200 г",https://edostavka.by/product/2235898,"Молоко, яйца",3.69,Комплексная пищевая добавка
880,"Йогурт питьевой Беллакт с ароматом вишни, 2,6%, 400 г",https://edostavka.by/product/1661369,"Молоко, яйца",1.49,Комплексная пищевая добавка
881,"Творожный десерт Венский завтрак взбитый, 7 % лимонный пирог, 125 г",https://edostavka.by/product/2146910,"Молоко, яйца",1.79,Комплексная пищевая добавка
886,"Мороженое Бабушкина крынка сливочное, персик, 8%, 70 г",https://edostavka.by/product/1854029,"Молоко, яйца",1.47,Комплексная пищевая добавка
889,"Сырок творожный Молочная страна Любимый, изюм, аромат ванилина, 8.5%, ",https://edostavka.by/product/360623,"Молоко, яйца",1.59,Комплексная пищевая добавка
893,"Мороженое УП Минский хладокомбинат №2 Страчателла пломбир с шоколадной стружкой, 15%, 80 г",https://edostavka.by/product/813721,"Молоко, яйца",2.32,Комплексная пищевая добавка
900,"Желе из молочной сыворотки Yoguru клубника, 150 г",https://edostavka.by/product/1015609,"Молоко, яйца",1.25,Пищевая добавка (неуточнённая)
903,"Мороженое Белый полюс пломбир классический, 75 г",https://edostavka.by/product/709648,"Молоко, яйца",2.13,Комплексная пищевая добавка
904,"Мороженое Молочный мир Городень, шоколадное, 15%, 100 г",https://edostavka.by/product/979528,"Молоко, яйца",2.15,Комплексная пищевая добавка
915,"Сыр творожный SVEZA прованские травы, 60%, 150 г",https://edostavka.by/product/849197,"Молоко, яйца",4.59,Комплексная пищевая добавка
925,"Десерт творожный  Ляховичок Лакомка с наполнителем со вкусом шоколадного брауни и какао, 6%, 100 г",https://edostavka.by/product/2199779,"Молоко, яйца",2.09,Комплексная пищевая добавка
